id,type,amount,tourist_id,zone,timestamp
1,TICKET_SALE,25.0,1,Arrival Zone,2026-05-21T17:28:55.558330078
2,TICKET_SALE,25.0,2,Arrival Zone,2026-05-21T17:28:55.566471143
3,TICKET_SALE,25.0,3,Arrival Zone,2026-05-21T17:28:55.566764034
4,TICKET_SALE,25.0,4,Arrival Zone,2026-05-21T17:28:55.566837469
5,TICKET_SALE,25.0,5,Arrival Zone,2026-05-21T17:28:55.567082681
6,TICKET_SALE,25.0,6,Arrival Zone,2026-05-21T17:28:55.567755736
7,TICKET_SALE,25.0,7,Arrival Zone,2026-05-21T17:28:55.567852674
8,TICKET_SALE,25.0,8,Arrival Zone,2026-05-21T17:28:55.567899336
9,TICKET_SALE,25.0,9,Arrival Zone,2026-05-21T17:28:55.567939084
10,TICKET_SALE,25.0,10,Arrival Zone,2026-05-21T17:28:55.568016059
11,SOUVENIR_SALE,15.0,1,Central Hub,2026-05-21T17:28:55.568071747
12,SOUVENIR_SALE,15.0,2,Central Hub,2026-05-21T17:28:55.568135016
13,SOUVENIR_SALE,15.0,4,Central Hub,2026-05-21T17:28:55.568195007
14,SPA_SERVICE,20.0,4,Bathroom Zone,2026-05-21T17:28:55.568438051
15,SOUVENIR_SALE,15.0,5,Central Hub,2026-05-21T17:28:55.568496058
16,SOUVENIR_SALE,15.0,6,Central Hub,2026-05-21T17:28:55.568542992
17,SOUVENIR_SALE,15.0,8,Central Hub,2026-05-21T17:28:55.568609635
18,TICKET_SALE,25.0,11,Arrival Zone,2026-05-21T17:28:55.568690256
19,TICKET_SALE,25.0,12,Arrival Zone,2026-05-21T17:28:55.568754215
20,TICKET_SALE,25.0,13,Arrival Zone,2026-05-21T17:28:55.568893223
21,TICKET_SALE,25.0,14,Arrival Zone,2026-05-21T17:28:55.568962513
22,TICKET_SALE,25.0,15,Arrival Zone,2026-05-21T17:28:55.569048265
23,SOUVENIR_SALE,15.0,2,Central Hub,2026-05-21T17:28:55.569158951
24,SOUVENIR_SALE,15.0,4,Central Hub,2026-05-21T17:28:55.569206290
25,SOUVENIR_SALE,15.0,5,Central Hub,2026-05-21T17:28:55.569248259
26,SOUVENIR_SALE,15.0,11,Central Hub,2026-05-21T17:28:55.569333659
27,SOUVENIR_SALE,15.0,13,Central Hub,2026-05-21T17:28:55.569448527
28,SOUVENIR_SALE,15.0,15,Central Hub,2026-05-21T17:28:55.569527220
29,TICKET_SALE,25.0,16,Arrival Zone,2026-05-21T17:28:55.569609318
30,TICKET_SALE,25.0,17,Arrival Zone,2026-05-21T17:28:55.569670763
31,TICKET_SALE,25.0,18,Arrival Zone,2026-05-21T17:28:55.569709107
32,TICKET_SALE,25.0,19,Arrival Zone,2026-05-21T17:28:55.569745144
