GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dinosaur-park,com.axity.dinosaurpark.simulation,SimulationEngine,522,0,26,0,73,0,16,0,3,0
dinosaur-park,com.axity.dinosaurpark.simulation,ParkState,33,0,0,0,7,0,1,0,1,0
dinosaur-park,com.axity.dinosaurpark.simulation,ParkMonitor,112,0,10,0,21,0,9,0,4,0
dinosaur-park,com.axity.dinosaurpark.config,ParkConfig,51,38,6,4,11,12,9,4,5,3
dinosaur-park,com.axity.dinosaurpark.model,Guard,18,0,2,0,5,0,5,0,4,0
dinosaur-park,com.axity.dinosaurpark.model,DinosaurStatus,21,0,0,0,4,0,1,0,1,0
dinosaur-park,com.axity.dinosaurpark.model,SatisfactionSurvey,23,0,4,0,4,0,3,0,1,0
dinosaur-park,com.axity.dinosaurpark.model,TouristStatus,27,0,0,0,5,0,1,0,1,0
dinosaur-park,com.axity.dinosaurpark.model,Dinosaur,56,0,0,0,21,0,11,0,11,0
dinosaur-park,com.axity.dinosaurpark.model,Tourist,67,0,0,0,23,0,12,0,12,0
dinosaur-park,com.axity.dinosaurpark.model,CarnivoreDinosaur,10,0,0,0,4,0,3,0,3,0
dinosaur-park,com.axity.dinosaurpark.model,Worker,28,0,0,0,9,0,5,0,5,0
dinosaur-park,com.axity.dinosaurpark.model,Technician,14,0,2,0,5,0,4,0,3,0
dinosaur-park,com.axity.dinosaurpark.model,HerbivoreDinosaur,10,0,0,0,4,0,3,0,3,0
dinosaur-park,com.axity.dinosaurpark.model,Ticket,18,0,0,0,1,0,1,0,1,0
dinosaur-park,com.axity.dinosaurpark,Main,10,0,0,0,4,0,2,0,2,0
dinosaur-park,com.axity.dinosaurpark.event,StormEvent,51,0,4,0,12,0,8,0,6,0
dinosaur-park,com.axity.dinosaurpark.event,BlackoutEvent,35,0,0,0,9,0,6,0,6,0
dinosaur-park,com.axity.dinosaurpark.event,DinosaurEscapeEvent,94,0,10,0,20,0,13,0,8,0
dinosaur-park,com.axity.dinosaurpark.persistence,ExpenseRecord,31,0,0,0,2,0,2,0,2,0
dinosaur-park,com.axity.dinosaurpark.persistence,RevenueRecord,36,0,0,0,2,0,2,0,2,0
dinosaur-park,com.axity.dinosaurpark.persistence,CsvWriter,250,0,2,0,60,0,8,0,7,0
dinosaur-park,com.axity.dinosaurpark.persistence,EventRecord,31,0,0,0,2,0,2,0,2,0
dinosaur-park,com.axity.dinosaurpark.zone,BathroomZone,129,0,12,0,32,0,15,0,9,0
dinosaur-park,com.axity.dinosaurpark.zone,PowerPlant,22,99,5,5,5,26,5,7,0,7
dinosaur-park,com.axity.dinosaurpark.zone,ObservationEnclosure,111,0,4,0,23,0,11,0,9,0
dinosaur-park,com.axity.dinosaurpark.zone,ExperienceType,44,0,0,0,10,0,4,0,4,0
dinosaur-park,com.axity.dinosaurpark.zone,CentralHub,67,0,2,0,19,0,9,0,8,0
dinosaur-park,com.axity.dinosaurpark.zone,ArrivalZone,98,0,6,0,26,0,11,0,8,0
